VCD info: dumpfile alu.vcd opened for output.
tiempo=1110 A=0110 B=1111 c_in=0 L=0 OP=00 R=0110, Z=0, C=0, S=0. ---- OK
tiempo=1120 A=0111 B=0000 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1130 A=0111 B=0001 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1140 A=0111 B=0010 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1150 A=0111 B=0011 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1160 A=0111 B=0100 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1170 A=0111 B=0101 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1180 A=0111 B=0110 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1190 A=0111 B=0111 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1200 A=0111 B=1000 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1210 A=0111 B=1001 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1220 A=0111 B=1010 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1230 A=0111 B=1011 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1240 A=0111 B=1100 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1250 A=0111 B=1101 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1260 A=0111 B=1110 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1270 A=0111 B=1111 c_in=0 L=0 OP=00 R=0111, Z=0, C=0, S=0. ---- OK
tiempo=1280 A=1000 B=0000 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1290 A=1000 B=0001 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1300 A=1000 B=0010 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1310 A=1000 B=0011 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1320 A=1000 B=0100 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1330 A=1000 B=0101 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1340 A=1000 B=0110 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1350 A=1000 B=0111 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1360 A=1000 B=1000 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1370 A=1000 B=1001 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1380 A=1000 B=1010 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1390 A=1000 B=1011 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1400 A=1000 B=1100 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1410 A=1000 B=1101 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1420 A=1000 B=1110 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1430 A=1000 B=1111 c_in=0 L=0 OP=00 R=1000, Z=0, C=0, S=1. ---- OK
tiempo=1440 A=1001 B=0000 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1450 A=1001 B=0001 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1460 A=1001 B=0010 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1470 A=1001 B=0011 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1480 A=1001 B=0100 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1490 A=1001 B=0101 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1500 A=1001 B=0110 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1510 A=1001 B=0111 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1520 A=1001 B=1000 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1530 A=1001 B=1001 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1540 A=1001 B=1010 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1550 A=1001 B=1011 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1560 A=1001 B=1100 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1570 A=1001 B=1101 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1580 A=1001 B=1110 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1590 A=1001 B=1111 c_in=0 L=0 OP=00 R=1001, Z=0, C=0, S=1. ---- OK
tiempo=1600 A=1010 B=0000 c_in=0 L=0 OP=00 R=1010, Z=0, C=0, S=1. ---- OK
